experiment,plate,specimen,tube,tube.no,.no,n,min,median,max,geo.mean,arith.mean,sd,se,r.sd,r.se,comp
olfactory bulb,6,Specimen_064,OB,1,39,1486,1.3222192947339193,2.8747715405455834,3.3820170425748683,2.674992146209654,2.8411273712381906,0.4663516788482002,0.012097737026424466,0.370579765355433,0.009613295613423552,NA
olfactory bulb,6,Specimen_064,OB,1,39,1486,1.380211241711606,2.1335389083702174,2.6232492903979003,2.0958445824450602,2.1660789442819826,0.26098470395970946,0.006770264715722252,0.4010030453710425,0.010402512974062498,NA
olfactory bulb,6,Specimen_064,OB,1,39,1486,2.3201462861110542,2.459392487759231,2.8987251815894934,2.4971448838557833,2.5224266801551773,0.1414650152938193,0.0036697767609427056,0.19821750005783023,0.005142006126486921,NA
olfactory bulb,6,Specimen_064,OB,1,39,1486,4.723734104116147,4.869124239999697,4.97887118240381,4.869383197095596,4.871963460475824,0.04752022971365821,0.0012327332967493137,0.07244075600972522,0.0018792024473150786,NA
olfactory bulb,6,Specimen_064,OB,1,39,1486,1.5185139398778875,2.231722515885214,2.6444385894678386,2.179757915817714,2.2637300267398195,0.2859419047315173,0.007417685247366327,0.4803439059628933,0.012460712634158178,NA
olfactory bulb,6,Specimen_064,OB,1,39,1486,1.662757831681574,2.444044795918076,3.0043213737826426,2.3970763111940654,2.467581219063028,0.26427971016504975,0.006855741235654795,0.34837178240299943,0.009037193178648548,NA
olfactory bulb,6,Specimen_064,OB,1,39,1486,4.721864209829465,4.858886260550351,4.9463537284948105,4.8562388283354005,4.858684654060954,0.046310631454940875,0.001201354827869937,0.0750137074545572,0.0019459479772941143,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,2.663700925389648,3.055378331375,3.4835872969688944,3.059291241782676,3.1037824950756723,0.19759544422433,0.016409408482522397,0.3347454301042264,0.027799094871852056,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,2.6138418218760693,3.434888120867316,4.490351836684478,3.489858355911958,3.729163672103885,0.4823740263398815,0.040058982486376064,0.924011142449182,0.0767349487148948,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,2.3201462861110542,2.5211380837040362,2.90687353472207,2.538633801845677,2.5723266906084117,0.1668614070588935,0.013857085618276043,0.2903131692651675,0.024109196449485868,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,4.775702357271696,4.841465449782107,4.929097516711083,4.854447570221097,4.856048392835397,0.03716891660103325,0.0030867105147764475,0.050297656532347475,0.004176993022247394,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,3.1992064791616577,3.5613399414589013,4.115344195871441,3.570290414885047,3.6205660783325904,0.20405950451256652,0.016946219470962504,0.2942797498305786,0.02443860303591895,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,3.87285524470481,4.380573003066887,4.931376496418221,4.373992740418614,4.423913557946905,0.21075950339056437,0.017502624092805355,0.3206561443269404,0.026629043373680862,NA
olfactory bulb,6,Specimen_064,OB,2,40,145,4.7865092483253315,4.840416838007571,4.925961218425737,4.850898049651415,4.852334678724687,0.03522155857270168,0.0029249912328666193,0.05320010569423584,0.0044180283056474996,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,1.9294189257142926,2.7634279935629373,3.3521825181113627,2.7198391352439395,2.7858165173353164,0.2607801226380462,0.00513211484421874,0.3013326894854604,0.005930183455366881,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,2.4149733479708178,3.5242013226797737,4.322033128631803,3.4918684256837627,3.585068928926044,0.3057679741318523,0.006017469211435325,0.3677913687461209,0.007238080586906336,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,2.3201462861110542,2.494154594018443,2.9537596917332287,2.5309023254513834,2.5632144558383976,0.16147647365581896,0.0031778334907501898,0.254445106526311,0.005007442649511146,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,4.73958439565811,4.865955767506774,4.951846311299346,4.8661775103631175,4.867891416329533,0.038681680420784945,7.61249838671075e-4,0.06073493098104013,0.001195254598767958,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,2.100370545117563,2.9852018002492473,3.7194141597025934,2.977632238345116,3.0507209664777193,0.26269994735233976,0.005169896715071679,0.3370395494782914,0.006632889261146393,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,2.7715874808812555,3.4442790572600934,4.00949338828754,3.4347241155157793,3.4826303989752607,0.20930627540658234,0.004119117025238872,0.2853663126649737,0.005615967484226545,NA
olfactory bulb,6,Specimen_065,OB,1,43,2582,4.746822714690806,4.858560246453676,4.932518512524184,4.859200000751462,4.860621525451744,0.03520571732851249,6.928433911115427e-4,0.05585371265699864,0.0010991929328508215,NA
olfactory bulb,6,Specimen_065,OB,2,44,861,1.2304489213782739,2.322219294733919,3.3951515915045425,2.2957228910313385,2.4576691852268033,0.3943910216574293,0.01344081006127821,0.566585837056141,0.01930919367098747,NA
olfactory bulb,6,Specimen_065,OB,2,44,861,1.2304489213782739,2.780317312140151,4.032578471924312,2.8484368458839975,3.3503475372532767,0.7404802841829473,0.025235500575034008,1.400856410331673,0.047741058747393886,NA
olfactory bulb,6,Specimen_065,OB,2,44,861,2.3201462861110542,2.48572142648158,2.8785217955012063,2.526367539567814,2.555340259881083,0.15447937409723478,0.005264642985279686,0.24796670517457853,0.008450682705113503,NA
